#options: 400x294 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:14.56 aq:11.07 tex:21489 mv:2641 misc:422 imb:6 pmb:359 smb:110 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:14.71 aq:14.28 tex:3654 mv:1252 misc:526 imb:1 pmb:236 smb:238 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:14.42 aq:12.88 tex:11911 mv:1603 misc:518 imb:1 pmb:290 smb:184 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:14.52 aq:7.11 tex:78186 mv:2703 misc:255 imb:55 pmb:389 smb:31 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:14.39 aq:10.99 tex:14745 mv:2431 misc:456 imb:0 pmb:373 smb:102 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:14.33 aq:13.63 tex:4771 mv:1406 misc:519 imb:1 pmb:268 smb:206 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:14.45 aq:13.31 tex:4779 mv:1315 misc:514 imb:1 pmb:252 smb:222 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:14.05 aq:4.91 tex:112746 mv:3320 misc:230 imb:105 pmb:345 smb:25 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:14.28 aq:9.79 tex:18810 mv:3150 misc:352 imb:11 pmb:375 smb:89 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:14.40 aq:10.98 tex:7238 mv:1675 misc:543 imb:16 pmb:256 smb:203 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:14.17 aq:11.46 tex:9084 mv:2424 misc:476 imb:1 pmb:344 smb:130 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:13.93 aq:5.45 tex:83876 mv:2500 misc:336 imb:52 pmb:341 smb:82 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:13.99 aq:9.70 tex:12849 mv:1938 misc:477 imb:1 pmb:314 smb:160 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:14.02 aq:12.67 tex:5747 mv:881 misc:500 imb:0 pmb:244 smb:231 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:13.96 aq:11.69 tex:4747 mv:935 misc:526 imb:0 pmb:226 smb:249 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:13.61 aq:4.90 tex:149797 mv:3155 misc:248 imb:82 pmb:361 smb:32 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:13.77 aq:9.93 tex:29560 mv:3106 misc:382 imb:6 pmb:391 smb:78 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:13.85 aq:12.25 tex:13556 mv:1768 misc:468 imb:1 pmb:304 smb:170 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:13.69 aq:11.76 tex:12622 mv:2135 misc:459 imb:1 pmb:338 smb:136 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:13.98 aq:5.47 tex:93849 mv:2295 misc:352 imb:32 pmb:358 smb:85 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:13.80 aq:10.34 tex:16062 mv:1670 misc:476 imb:0 pmb:320 smb:155 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:13.70 aq:11.65 tex:7612 mv:1071 misc:493 imb:0 pmb:286 smb:189 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:13.89 aq:11.94 tex:5518 mv:796 misc:518 imb:1 pmb:219 smb:255 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:13.72 aq:5.59 tex:89786 mv:2056 misc:366 imb:20 pmb:352 smb:103 d:- ref:0 ;
